Rank	Player	Country	Min rating	Med rating	Max rating
1	まはーら	Japan	7.00	8.11	9.41
2	momoken	Japan	6.55	6.97	7.43
3	マッキー	Japan	6.35	6.61	6.89
4	ともくん	Japan	5.60	5.73	5.85
5	delta	Japan	4.97	5.06	5.15
6	Tom	Japan	4.92	5.43	6.00
7	live	Japan	4.92	5.01	5.09
8	レイン	Japan	4.87	4.99	5.12
9	ぴぽにあ	Japan	4.81	4.90	4.99
10	SAKI	Japan	4.61	4.69	4.77
11	Shiyota	Japan	4.58	4.71	4.84
12	ぽんでりおん	Japan	4.47	5.14	5.91
13	Kamestry	Japan	4.34	4.42	4.51
14	ようかん	Japan	4.13	5.34	6.90
15	ざいろ	Japan	4.12	4.30	4.48
16	fron	Japan	4.11	4.25	4.39
17	くまちょむ	Japan	4.05	4.17	4.29
18	selva	Japan	3.99	4.15	4.32
19	BCD	Japan	3.98	4.86	5.93
20	わっふる	Japan	3.89	4.01	4.14
21	ヨダソウマ	Japan	3.73	3.85	3.98
22	とりぱん	Japan	3.71	3.79	3.87
23	飛車ちゅう	Japan	3.68	3.75	3.83
24	トムソン	Japan	3.67	3.84	4.00
25	キウ	Japan	3.63	3.93	4.24
26	たーち	Japan	3.56	3.70	3.84
27	ranea	Japan	3.53	3.59	3.65
28	むー	Japan	3.51	3.57	3.62
29	いさな	Japan	3.51	3.58	3.65
30	和樹	Japan	3.50	3.68	3.86
31	やなせ	Japan	3.45	3.65	3.88
32	pndsng	Japan	3.43	3.52	3.63
33	reoru	Japan	3.42	3.61	3.81
34	meta	Japan	3.41	4.78	6.70
35	citrus	Japan	3.36	3.67	4.01
36	MGR	Japan	3.35	3.38	3.42
37	あべし	Japan	3.35	3.40	3.45
38	しのたん	Japan	3.32	3.49	3.67
39	alf_puyo2	Japan	3.30	3.73	4.22
40	TS	Japan	3.30	3.34	3.38
41	ぴんぽん	Japan	3.28	3.69	4.16
42	クラボ	Japan	3.25	3.57	3.93
43	タイタン	Japan	3.23	3.31	3.39
44	スラお	Japan	3.21	3.27	3.33
45	しゃわこ	Japan	3.20	4.45	6.20
46	sym_pyasta	Japan	3.19	4.06	5.17
47	MATTYAN	Japan	3.15	3.19	3.22
48	coo	Japan	3.15	3.19	3.24
49	niros	Japan	3.14	3.37	3.62
50	pado(ぱど)	Korea	3.13	3.19	3.26
51	よしけん	Japan	3.12	3.17	3.21
52	houseman	Japan	3.12	4.23	5.75
53	O.T	Japan	3.04	3.14	3.24
54	みくろ	Japan	3.02	3.60	4.30
55	ヨッシー	Japan	3.01	3.06	3.11
56	ほうじ茶	Japan	2.98	3.17	3.37
57	リッキー	Japan	2.97	3.00	3.03
58	星空	Japan	2.97	3.05	3.14
59	ここのわ	Japan	2.96	3.09	3.23
60	Ash	Japan	2.95	3.38	3.86
61	aru	Japan	2.95	3.01	3.07
62	すー	Japan	2.94	4.03	5.52
63	GTRpriest	Japan	2.93	4.40	6.59
64	Task	Japan	2.89	2.92	2.94
65	ぱつんこ	Japan	2.89	3.21	3.58
66	らすあ	Japan	2.86	2.90	2.93
67	MYK	Japan	2.86	2.92	2.98
68	らいと	Japan	2.86	4.27	6.37
69	かおちょむ	Japan	2.84	3.39	4.05
70	なしー	Japan	2.82	2.87	2.92
71	きんむぎ	Japan	2.80	2.85	2.90
72	☥ぶーけ☥	Japan	2.78	2.94	3.11
73	ももか	Japan	2.78	3.16	3.60
74	こゆき	Japan	2.77	2.88	2.99
75	椎野	Japan	2.75	2.78	2.81
76	りはる	Japan	2.75	2.87	3.01
77	ぐっくる	Japan	2.74	3.76	5.15
78	ねいみお	Japan	2.74	2.99	3.27
79	rohto	Japan	2.74	2.78	2.83
80	ta-ti	Japan	2.73	3.29	3.95
81	ぱぴこ	Japan	2.72	2.84	2.97
82	JASON	Japan	2.71	2.79	2.88
83	むかさき	Japan	2.70	3.20	3.78
84	dio	Japan	2.70	2.73	2.76
85	hov	Japan	2.69	3.00	3.33
86	さとん	Japan	2.67	2.83	2.99
87	しぐ	Japan	2.67	2.94	3.23
88	ぷよつかい	Japan	2.65	2.83	3.02
89	スライム	Japan	2.64	3.61	4.94
90	えんどう	Japan	2.62	2.93	3.27
91	ぼうぎん	Japan	2.60	2.63	2.67
92	どらちゃ	Japan	2.59	2.63	2.66
93	やまたけ	Japan	2.58	2.63	2.68
94	さられあ	Japan	2.58	2.80	3.05
95	nona	Japan	2.57	2.61	2.64
96	HIRO	Japan	2.57	3.30	4.23
97	ペペペマン	Japan	2.56	2.68	2.80
98	もぜる	Japan	2.55	2.84	3.16
99	へーょまは	Japan	2.55	2.71	2.88
100	alexsei	Japan	2.54	2.57	2.61
101	やまゆう	Japan	2.54	2.58	2.62
102	たか55	Japan	2.53	2.61	2.70
103	かみ	Japan	2.52	2.60	2.69
104	透明人間	Japan	2.50	3.31	4.39
105	ぐー	Japan	2.50	2.58	2.66
106	ねむみん	Japan	2.49	2.68	2.89
107	むう	Japan	2.47	2.51	2.54
108	かぐぅ	Japan	2.46	2.53	2.59
109	king	Japan	2.45	2.50	2.55
110	ビーグル	Japan	2.45	2.79	3.16
111	puyota	Korea	2.45	2.49	2.52
112	りよう	Japan	2.44	2.97	3.61
113	うみ	Japan	2.44	2.51	2.58
114	あさ、	Japan	2.44	2.59	2.76
115	大槻唯	Japan	2.41	2.50	2.59
116	こなみかん	Japan	2.41	2.81	3.27
117	KK閣下	Japan	2.40	2.49	2.58
118	TeraSAN	Japan	2.39	2.44	2.49
119	あめねこ	Japan	2.39	2.63	2.90
120	むーた	Japan	2.38	2.43	2.47
121	たなひー	Japan	2.38	2.53	2.70
122	ムウマ	Japan	2.38	3.10	4.03
123	oka	Japan	2.37	2.66	2.97
124	ひゅん	Japan	2.36	2.39	2.42
125	いなの	Japan	2.34	2.45	2.57
126	さちぬへ	Japan	2.32	3.18	4.35
127	REF	Japan	2.32	2.74	3.24
128	redri	Japan	2.31	2.34	2.37
129	めいせつ	Japan	2.31	2.50	2.71
130	なもこ	Japan	2.30	2.73	3.24
131	ノブナガ　オダ	Japan	2.29	2.55	2.83
132	あん	Japan	2.28	5.03	11.06
133	ヴィーネ	Japan	2.27	3.06	4.14
134	きたさん（北山慎之介）	Japan	2.27	2.31	2.36
135	Ferro	Japan	2.23	2.25	2.27
136	まつ	Japan	2.21	2.31	2.41
137	らいむ	Japan	2.21	3.08	4.28
138	shocole	Japan	2.21	2.23	2.25
139	kurupo-@徳島	Japan	2.20	3.10	4.36
140	にあ222	Japan	2.20	2.43	2.68
141	ナポレオン	Japan	2.17	2.20	2.23
142	いささか	Japan	2.17	2.20	2.22
143	パララ	Japan	2.15	2.35	2.57
144	いた	Japan	2.14	2.72	3.47
145	ひゅーまん	Japan	2.13	2.49	2.90
146	ヴム９て	Japan	2.12	2.16	2.21
147	ユニノワール	Japan	2.12	2.39	2.70
148	あぽろ	Japan	2.12	2.27	2.43
149	KENROU	Japan	2.12	2.17	2.23
150	bran	Japan	2.11	2.14	2.17
151	キズナ	Japan	2.10	2.77	3.65
152	CaO	Japan	2.09	2.13	2.16
153	あいり	Japan	2.09	2.22	2.35
154	umi	Japan	2.09	2.13	2.17
155	えんぴー	Japan	2.09	2.12	2.15
156	Ethanol	Japan	2.08	2.11	2.15
157	nagareoo	Japan	2.08	2.11	2.14
158	しょう！	Japan	2.08	2.09	2.11
159	droi	Japan	2.07	2.17	2.28
160	ろいやるおーさむ	Japan	2.06	2.10	2.15
161	だにえる	Japan	2.05	2.29	2.56
162	みつき	Japan	2.04	2.40	2.83
163	すめし	Japan	2.04	2.07	2.09
164	かげたつ	Japan	2.04	2.25	2.49
165	tenkyu	Japan	2.04	2.86	4.03
166	そうた	Japan	2.03	2.26	2.52
167	anagura💸	Japan	2.03	2.44	2.92
168	りっき〜	Japan	2.03	2.21	2.42
169	りさ	Japan	2.03	2.40	2.84
170	むなぞー	Japan	2.02	2.05	2.08
171	tamu	Japan	2.02	7.19	25.56
172	はやて(･_･)	Japan	2.01	2.22	2.45
173	たつのこ	Japan	2.01	2.08	2.16
174	Acliv	Taiwan	2.01	2.12	2.25
175	いわし	Japan	1.99	2.02	2.04
176	まさとさま	Japan	1.99	2.01	2.04
177	睦	Japan	1.98	2.00	2.02
178	Notchi	Japan	1.97	2.14	2.33
179	えちご	Japan	1.97	1.99	2.01
180	きのこ	Japan	1.96	2.02	2.07
181	KishimenEX	Japan	1.96	2.12	2.29
182	しいくいん	Japan	1.96	2.03	2.10
183	kumanopoo1	Japan	1.95	1.98	2.01
184	fippu	Japan	1.95	1.98	2.00
185	lily	Japan	1.95	2.02	2.10
186	スパドラ	Japan	1.94	2.48	3.17
187	はやし	Japan	1.94	1.99	2.05
188	やまちゃん	Japan	1.93	2.30	2.75
189	神代アリス	Japan	1.93	1.96	1.99
190	かい	Japan	1.93	1.95	1.98
191	しろた	Japan	1.93	2.95	4.53
192	kaoru	Japan	1.92	2.08	2.26
193	いるかっち	Japan	1.92	2.02	2.14
194	えると	Japan	1.91	2.75	3.94
195	しょっしー	Japan	1.91	2.03	2.17
196	みゅう	Japan	1.90	2.31	2.79
197	そふぁ	Japan	1.90	2.07	2.25
198	はやて	Japan	1.90	1.96	2.03
199	ごっち	Japan	1.89	2.54	3.42
200	ラーメン	Japan	1.88	3.02	4.85
201	Nemesia	Japan	1.88	1.99	2.11
202	焼き芋	Japan	1.88	2.11	2.37
203	くに	Japan	1.88	1.91	1.94
204	ヨンノジ@puyo	Japan	1.87	1.93	1.98
205	hides	Japan	1.87	2.08	2.32
206	ぴざねこ	Japan	1.87	1.94	2.02
207	あきゅあ	Japan	1.86	1.98	2.12
208	jyandark	Japan	1.86	2.52	3.41
209	たっちゃん	Japan	1.86	2.98	4.79
210	sun	Japan	1.85	1.92	1.98
211	アルティナット	Japan	1.85	2.11	2.39
212	カイ	Japan	1.85	2.02	2.22
213	まつふる	Japan	1.84	1.87	1.90
214	ぶどうアメ	Japan	1.84	2.47	3.30
215	わんりゅー	Japan	1.84	2.00	2.18
216	みなし	Japan	1.84	1.86	1.89
217	よわぼん	Japan	1.84	2.27	2.80
218	はりゅー	Japan	1.83	1.93	2.04
219	Akane	Japan	1.83	1.87	1.91
220	Boo	Japan	1.83	1.91	2.00
221	sucre	Japan	1.82	2.22	2.70
222	岡本和真	Japan	1.82	2.33	2.99
223	taluute	Japan	1.82	1.85	1.88
224	yuon	Japan	1.81	2.25	2.79
225	AKHUA	Japan	1.81	2.04	2.30
226	oymyakon	Japan	1.81	2.44	3.29
227	ありす	Japan	1.81	1.90	1.99
228	ルッチェ	Japan	1.81	2.10	2.44
229	こうきくん	Japan	1.80	2.19	2.67
230	ゴンさん	Japan	1.80	2.10	2.45
231	いのうえ	Japan	1.79	1.82	1.85
232	ともろん	Japan	1.79	1.85	1.92
233	RBC	Japan	1.79	2.04	2.32
234	こんけあ	Japan	1.75	1.87	2.00
235	たろん	Japan	1.75	1.80	1.86
236	スナイプ	Japan	1.75	1.77	1.79
237	ぼくら	Japan	1.75	2.35	3.16
238	ふむはも	Japan	1.75	2.03	2.36
239	りっき～	Japan	1.74	1.86	1.99
240	フユ	Japan	1.74	1.94	2.17
241	プーチン	Japan	1.74	1.76	1.78
242	オロナン	Japan	1.74	1.92	2.12
243	とまる	Japan	1.74	2.13	2.61
244	くだら	Japan	1.74	2.01	2.33
245	masako_jpn	Japan	1.73	1.97	2.25
246	とかち	Japan	1.73	1.93	2.15
247	かたんど	Japan	1.73	1.79	1.84
248	やませ	Japan	1.73	1.76	1.80
249	あやみ	Japan	1.73	2.54	3.73
250	あどにす	Japan	1.73	1.91	2.11
251	こおり	Japan	1.73	2.30	3.06
252	にくじゃが	Japan	1.73	1.93	2.16
253	ヒデデだいおう	Japan	1.72	1.76	1.79
254	しょってぃー	Japan	1.72	1.76	1.80
255	amita	Japan	1.72	1.75	1.78
256	エード＠all愚形	Japan	1.72	1.77	1.82
257	Tekku	Japan	1.71	2.29	3.07
258	harbin	Japan	1.70	2.47	3.58
259	STZ	Japan	1.70	2.03	2.44
260	がまずみ	Japan	1.70	1.79	1.88
261	みつるい	Japan	1.70	1.87	2.07
262	ばたし	Japan	1.69	1.92	2.18
263	くるる	Japan	1.69	1.96	2.29
264	たこ焼き	Japan	1.68	1.71	1.73
265	ろんば	Japan	1.68	2.14	2.73
266	ヨッスィー	Japan	1.68	1.92	2.21
267	ぽいずん	Japan	1.67	1.75	1.84
268	すか	Japan	1.66	1.74	1.82
269	kuroro	Japan	1.66	2.41	3.50
270	hachispin	Japan	1.66	2.31	3.22
271	まるちまる	Japan	1.66	1.76	1.86
272	ふじもん	Japan	1.65	1.77	1.89
273	たくらだ	Japan	1.65	1.71	1.76
274	kbn	Japan	1.65	2.30	3.21
275	やまンせス	Japan	1.65	1.84	2.05
276	Yoshi100_Aus	Australia	1.64	1.72	1.80
277	ふつ	Japan	1.64	1.85	2.09
278	Goldrush	Japan	1.64	2.13	2.77
279	むよやら	Japan	1.63	1.72	1.82
280	ゆうか	Japan	1.63	1.99	2.43
281	あだち	Japan	1.62	1.73	1.84
282	ゆーふぉ	Japan	1.62	1.73	1.84
283	こたら	Japan	1.61	1.64	1.66
284	せりー	Japan	1.61	1.72	1.84
285	ゆっくり	Japan	1.60	1.85	2.15
286	ふる	Japan	1.60	1.99	2.48
287	カイバラ	Japan	1.59	1.77	1.96
288	fame	Japan	1.59	1.62	1.67
289	akinari	Japan	1.58	2.18	3.00
290	しゅばるん	Japan	1.58	2.04	2.63
291	ストーム	Japan	1.58	1.77	1.99
292	ろんてん@ゲーム実況者	Japan	1.58	1.98	2.49
293	NHK	Japan	1.58	1.87	2.21
294	EXE	Japan	1.58	2.12	2.87
295	ささき	Japan	1.57	1.62	1.66
296	シグレ	Japan	1.57	2.03	2.63
297	やあ	Japan	1.57	1.83	2.15
298	さかす	Japan	1.56	1.61	1.67
299	しょこら	Japan	1.56	2.02	2.62
300	back	Japan	1.56	1.59	1.62
301	VanillaAIS	Japan	1.56	2.59	4.31
302	강동신	Korea	1.55	1.84	2.18
303	もりなが	Japan	1.55	1.57	1.59
304	さがわ	Japan	1.54	2.00	2.60
305	ヒロクル	Japan	1.54	2.03	2.67
306	はねさき	Japan	1.53	1.56	1.58
307	たまや	Japan	1.53	1.59	1.64
308	ぺこうさ	Japan	1.53	2.36	3.65
309	みつ	Japan	1.53	1.63	1.75
310	こにし	Japan	1.53	1.55	1.57
311	みんと@	Japan	1.53	1.60	1.68
312	ななぷす	Japan	1.53	2.32	3.53
313	taka	Japan	1.52	1.64	1.77
314	ファンネル	Japan	1.52	1.83	2.19
315	kuro	Japan	1.52	1.68	1.86
316	はちすぴん	Japan	1.52	1.87	2.31
317	そ	Japan	1.52	1.54	1.56
318	まもる	Japan	1.51	1.77	2.06
319	さぎごん	Japan	1.51	1.54	1.56
320	ＩＢＡ(イバ)	Japan	1.51	1.60	1.70
321	むら	Japan	1.50	1.53	1.57
322	えすとくん	Japan	1.50	1.52	1.55
323	いどりりど	Japan	1.50	1.94	2.52
324	ばな・オリジナル	Japan	1.49	1.64	1.80
325	RIN	Japan	1.49	1.68	1.90
326	Doremy	France	1.49	1.54	1.59
327	えぬむら	Japan	1.48	1.56	1.64
328	みるん	Japan	1.48	1.92	2.50
329	ながと	Japan	1.48	1.50	1.52
330	てす	Japan	1.48	1.96	2.59
331	スマイル	Japan	1.48	1.52	1.57
332	ヘクサー	Japan	1.47	1.49	1.51
333	つるまきこころ	Japan	1.47	2.40	3.93
334	まじぇす	Japan	1.47	1.64	1.83
335	マーレイ	Japan	1.47	1.65	1.85
336	ORION	Japan	1.46	1.69	1.95
337	ゆーしーぐりーん	Japan	1.46	2.15	3.18
338	ひろしま	Japan	1.46	1.68	1.94
339	つばき	Japan	1.46	1.50	1.54
340	風味	Japan	1.45	1.99	2.72
341	ゆうりん	Japan	1.45	1.62	1.80
342	岡目式	Japan	1.45	3.42	8.10
343	ブラッキー	Japan	1.43	1.51	1.59
344	グランドネカマスター	Japan	1.43	1.79	2.24
345	いくら	Japan	1.43	2.51	4.40
346	りぃ	Japan	1.43	1.62	1.84
347	chokudai	Japan	1.42	1.54	1.68
348	xenotypos	France	1.42	1.48	1.54
349	こいる。	Japan	1.42	1.67	1.96
350	どんら	Japan	1.42	1.49	1.56
351	バイカル	Japan	1.42	2.44	4.21
352	せ	Japan	1.42	2.30	3.73
353	METAL	Japan	1.41	1.47	1.54
354	やなぎいろ	Japan	1.41	1.83	2.37
355	ラピスアイス	Japan	1.41	1.51	1.63
356	kir	Japan	1.41	1.51	1.62
357	ao1009	Japan	1.41	1.48	1.54
358	バンホーテンココア	Japan	1.41	2.28	3.70
359	つの	Japan	1.41	1.43	1.45
360	ten	Japan	1.40	1.81	2.34
361	あおみ	Japan	1.40	1.52	1.66
362	しゅんたろう	Japan	1.40	1.81	2.34
363	hayate_0315_	Japan	1.39	1.44	1.50
364	フミ！	Japan	1.39	1.42	1.45
365	とある	Japan	1.39	1.63	1.91
366	hinata	Japan	1.39	1.79	2.31
367	hi-ro	Japan	1.39	1.47	1.56
368	ぽん	Japan	1.38	1.80	2.35
369	もびうす	Japan	1.38	2.18	3.43
370	scibean	Japan	1.38	1.45	1.52
371	Roy_142🐸	Japan	1.38	1.69	2.06
372	ガリバー	Japan	1.38	2.15	3.36
373	ロンゲ	Japan	1.38	1.52	1.67
374	ぱる	Japan	1.37	1.38	1.39
375	ちりくん	Japan	1.37	1.97	2.84
376	そる	Japan	1.36	1.38	1.40
377	てぃー	Japan	1.36	1.54	1.73
378	はげれん	Japan	1.36	1.40	1.45
379	すりーと	Japan	1.35	1.40	1.45
380	カナメトマト	Japan	1.35	4.18	12.91
381	びわこのいきもの	Japan	1.35	1.94	2.80
382	ゆびをふる	Japan	1.34	1.40	1.47
383	pe1port	France	1.34	1.41	1.47
384	bullet	Japan	1.34	1.36	1.38
385	しょーぎ	Japan	1.33	1.57	1.85
386	あかじこう	Japan	1.33	1.99	2.97
387	ヘルミナ	Japan	1.33	1.42	1.51
388	りのみや	Japan	1.33	1.70	2.17
389	しののめ	Japan	1.33	1.44	1.57
390	わごん	Japan	1.32	1.34	1.36
391	わいる	Japan	1.32	1.36	1.40
392	さかの	Japan	1.32	1.38	1.45
393	大平俊介	Japan	1.31	1.33	1.35
394	ペルシャ	Japan	1.31	1.37	1.44
395	ぴっとんとん	Japan	1.31	1.44	1.59
396	よー	Japan	1.30	1.72	2.27
397	ぱるてもす	Japan	1.30	1.50	1.72
398	Mirror	Japan	1.30	1.72	2.29
399	calendar	Japan	1.29	1.44	1.61
400	きゃらめる	Japan	1.29	1.30	1.32
401	himuti	Japan	1.29	1.85	2.66
402	はんさむ	Japan	1.29	1.87	2.71
403	たけいひさ	Japan	1.28	1.50	1.75
